np,nn,delta,I,betaMinusQ,betaMinusQUncertainty,halflife_log_sec,halflife_log_sec_uncertainty,J_i,parity_i,flag_i,J_f,parity_f,flag_f,delta_J,delta_parity
26,40,-1,0.21212121212121213,3.802089257881733,0.0009932602504096452,-0.32605800136591223,0.03036380911611718,0.0,1,0,1.0,1,1,1.0,1
58,85,0,0.1888111888111888,3.164352855784437,0.0005532792714657865,5.075303104106928,0.00010516559782141279,1.5,-1,0,3.5,1,0,2.0,-1
67,107,1,0.22988505747126436,3.783903579272735,0.030214895698203206,0.5440680443502757,0.06204206884332169,8.0,-1,1,0.0,1,0,8.0,-1
81,129,1,0.22857142857142856,3.738780558484369,0.0009113844054539043,1.8920946026904804,0.010022180351613503,5.0,1,1,0.0,1,0,5.0,1
7,16,0,0.391304347826087,4.342422680822207,0.008626667663260047,-1.85078088734462,0.041581386565204964,0.0,0,2,0.5,1,0,-1.0,0
27,36,0,0.14285714285714285,3.5634810853944106,0.002195204348418076,1.429752280002408,0.006457910511572518,3.5,-1,0,0.5,-1,0,3.0,1
45,82,0,0.29133858267716534,4.127104798364807,0.025312238087047734,-1.6989700043360187,0.2931487752846949,0.0,0,2,0.0,0,2,-1.0,0
33,47,1,0.175,3.74350976472843,0.00026967021980996137,1.1818435879447726,0.005714401077674366,1.0,1,0,0.0,0,2,-1.0,0
43,74,0,0.26495726495726496,4.05307844348342,0.022637119454957107,-1.3516399890190685,0.029278279678870905,0.0,0,2,0.0,0,2,-1.0,0
34,51,0,0.2,3.7895807121644256,0.00028412447436203,1.5171958979499742,0.0039601320538290435,2.5,1,1,1.5,-1,0,1.0,-1
38,55,0,0.1827956989247312,3.617000341120899,0.0012168637657192561,2.649140064144219,0.0017535443414666964,2.5,1,0,0.5,-1,0,2.0,-1
72,112,-1,0.21739130434782608,3.1271047983648077,0.00972301078887877,4.171199716800422,0.005270564100767618,0.0,1,0,5.0,-1,1,5.0,-1
41,58,0,0.1717171717171717,3.5599066250361124,0.0014356842376967,1.1760912590556813,0.0057905930920433574,4.5,1,0,0.5,1,0,4.0,1
40,65,0,0.23809523809523808,3.926856708949692,0.0006527266177717511,-0.17392519729917355,0.01814962013924037,0.0,0,2,2.5,1,1,-1.0,0
58,94,-1,0.23684210526315788,3.678518379040114,0.018300459300325703,0.15228834438305647,0.006116823688778195,0.0,1,0,4.0,1,1,4.0,1
33,55,1,0.25,4.127104798364807,0.006482007192585847,-0.6989700043360187,0.3148634993798576,0.0,0,2,0.0,1,0,-1.0,0
63,105,1,0.25,3.9489017609702137,0.024426011355638457,-0.3565473235138126,0.0473775798439911,0.0,0,2,0.0,1,0,-1.0,0
41,57,1,0.16326530612244897,3.661812685537261,0.00047308767091857495,0.456366033129043,0.009111073046921367,1.0,1,0,0.0,0,2,-1.0,0
31,49,1,0.225,4.012837224705172,0.00014926237533373896,0.2787536009528289,0.022857604310697464,6.0,-1,0,0.0,1,0,6.0,-1
13,24,0,0.2972972972972973,4.212187604403958,0.005675136481312432,-1.9430951486635273,0.01142880215534873,2.5,1,1,2.5,-1,1,0.0,-1
48,76,-1,0.22580645161290322,3.6190933306267428,0.003184130215877207,0.09691001300805642,0.006948711710452029,0.0,1,0,3.0,1,1,3.0,1
26,37,0,0.1746031746031746,3.79309160017658,0.0013287592844060843,0.785329835010767,0.04271749002327067,2.5,-1,1,3.5,-1,0,1.0,1
61,101,1,0.24691358024691357,3.9206450014067875,0.0156408576915937,-0.324221658325915,0.027486992525522266,0.0,0,2,0.0,1,0,-1.0,0
77,122,0,0.22613065326633167,3.4756711883244296,0.005955208614726864,0.7781512503836436,0.28952965460216784,0.0,0,2,2.5,-1,0,-1.0,0
67,103,1,0.21176470588235294,3.5877109650189114,0.00561103981787147,2.219060332448861,0.007867653657667605,6.0,1,1,0.0,0,2,-1.0,0
42,60,-1,0.17647058823529413,3.0043213737826426,0.005288932799415839,2.8312296938670634,0.0076866279982876415,0.0,1,0,1.0,1,0,1.0,1
85,138,0,0.23766816143497757,3.481442628502305,0.0022933041948686563,1.6989700043360187,0.060801227466455256,0.0,0,2,3.5,0,1,-1.0,0
7,12,0,0.2631578947368421,4.096910013008056,0.0005767430719675184,-0.4736607226101559,0.003877629302707605,0.5,-1,0,2.5,1,0,2.0,-1
31,56,0,0.28735632183908044,4.1673173347481764,0.017224060064598354,-1.537602002101044,0.05990268715906921,0.0,0,2,0.0,0,2,-1.0,0
68,103,0,0.2046783625730994,3.173186268412274,0.00031187590311173116,4.432289272195775,0.00011556532248622987,2.5,-1,0,0.5,1,0,2.0,-1
